,respondent_id,report_yr,lambda_date,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,hour24
36500,235,2006,1/1/06 0:00,45.79,23.51,23.17,45.75,44.55,44.64,43.85,26.03,27.67,49.47,37.34,15.76,25.26,32.83,10.33,15.83,27.71,45.96,25.05,54.89,51.75,41.64,46.39,42.74
36501,235,2006,1/2/06 0:00,47.83,46.05,47.17,44.22,45.81,47.92,44.5,46.94,53.35,51.2,51.33,50.49,50.74,49.41,48.77,48.8,40.59,62.04,57.3,56.27,32.43,34.23,45.2,41.04
36502,235,2006,1/3/06 0:00,38.17,64.96,49.69,43.59,45.17,43.1,46.05,49.98,51.23,49.16,49.67,50.48,33.28,40.9,42.03,56.29,13.86,49.69,58.76,45.7,56.52,34.92,41.6,46.26
36503,235,2006,1/4/06 0:00,42.81,44.11,42.82,42.5,53.68,46.31,51.33,56.91,60.17,54.27,60.75,61.31,59.85,62.82,59.1,57.92,54.5,68.57,62.86,60.88,46.47,52.78,52.25,49.93
36504,235,2006,1/5/06 0:00,50.03,29.52,46.68,48.9,50.41,52.73,64.5,64.58,58.51,69.01,59.71,62.03,53.45,59.95,61.02,54.47,51.42,61.69,66.17,69.31,64.02,55.01,51.92,53.92
36505,235,2006,1/6/06 0:00,45.2,43.65,43.67,38.52,37.02,44.9,56.65,48.12,58.11,58.26,72.92,60.36,70.75,57.29,56.61,59.23,58.26,66.6,57.63,56.63,55.08,21.59,5.33,51.45
36506,235,2006,1/7/06 0:00,45.43,42.3,42.04,48.68,49.44,49.47,47.93,50.07,14.27,44.46,9.09,9.38,42.34,33.64,13.57,26.92,41.46,56.92,58.75,49.74,49.73,52.53,50.86,47.93
36507,235,2006,1/8/06 0:00,44.21,48.17,42.81,40.38,47.97,44.43,47.0,34.85,19.65,48.56,47.74,48.41,50.74,49.7,50.21,50.34,52.12,55.63,54.33,54.36,52.74,56.05,54.82,50.43
36508,235,2006,1/9/06 0:00,48.41,48.25,48.1,47.89,43.52,45.5,60.4,76.88,65.26,59.97,60.22,61.1,55.79,28.33,61.03,52.17,14.83,64.86,68.04,62.34,67.29,60.03,55.22,52.09
36509,235,2006,1/10/06 0:00,48.34,45.23,42.84,45.52,48.87,51.74,57.5,43.07,35.01,36.22,62.75,57.59,59.74,48.61,46.01,12.36,16.57,57.5,58.84,54.64,56.75,51.67,47.32,45.21
36510,235,2006,1/11/06 0:00,41.09,43.19,43.59,44.71,42.6,44.51,52.32,56.38,9.05,9.34,46.58,6.55,46.78,60.1,52.02,51.13,28.06,57.7,68.73,63.71,66.26,55.31,47.74,41.01
36511,235,2006,1/12/06 0:00,47.37,44.25,40.83,30.22,31.94,28.89,50.76,51.37,52.23,51.53,50.71,50.08,52.21,51.8,52.12,50.14,50.63,32.05,35.65,61.2,52.61,53.5,52.33,49.31
36512,235,2006,1/13/06 0:00,47.55,41.49,35.3,46.31,47.16,49.64,51.49,50.14,56.78,60.3,53.97,46.52,45.96,48.84,48.42,37.96,35.92,37.9,50.8,53.17,52.55,60.04,34.02,26.18
36513,235,2006,1/14/06 0:00,47.57,48.7,30.94,44.32,45.4,47.29,43.69,49.45,49.3,48.25,45.33,45.76,48.13,44.75,26.65,38.76,45.46,54.44,40.49,33.99,50.89,48.4,37.69,23.87
36514,235,2006,1/15/06 0:00,12.57,44.9,33.88,15.72,45.7,43.0,45.31,30.62,21.8,45.49,38.13,46.53,46.19,25.73,43.81,46.98,44.77,52.13,56.78,58.09,64.44,60.45,52.84,48.28
36515,235,2006,1/16/06 0:00,49.42,44.54,14.92,37.7,47.63,54.87,42.87,39.85,49.32,53.77,26.7,29.79,37.28,51.02,48.13,45.39,21.71,68.18,63.74,62.67,60.43,59.02,43.7,19.08
36516,235,2006,1/17/06 0:00,68.08,67.48,55.89,66.57,56.49,52.56,46.02,45.38,40.29,26.43,50.77,51.85,62.14,62.46,59.31,60.23,31.93,62.03,54.96,59.33,55.75,52.61,47.73,29.54
36517,235,2006,1/18/06 0:00,48.64,42.51,23.35,15.7,29.15,50.74,52.95,55.43,56.91,56.83,57.66,56.45,49.45,36.42,58.68,58.0,54.13,55.11,60.38,58.21,59.14,57.28,51.12,52.34
36518,235,2006,1/19/06 0:00,49.84,43.2,43.53,45.37,47.21,49.74,53.84,57.76,53.95,50.89,51.89,53.57,52.76,41.78,51.37,45.94,52.45,60.06,62.47,59.19,60.06,54.66,31.43,68.02
36519,235,2006,1/20/06 0:00,51.3,48.68,46.14,46.04,50.24,48.14,48.21,51.06,45.84,48.43,63.15,47.36,43.49,44.54,47.71,47.59,51.97,53.56,56.53,74.94,58.59,53.81,48.71,63.84
